WTeam,LTeam,WLoc
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Clippers,Detroit Pistons,H
Oklahoma City Thunder,Miami Heat,H
Philadelphia 76ers,Utah Jazz,V
Washington Wizards,Houston Rockets,V
Brooklyn Nets,Minnesota Timberwolves,H
Cleveland Cavaliers,Atlanta Hawks,V
Los Angeles Lakers,Dallas Mavericks,V
Memphis Grizzlies,Denver Nuggets,H
Portland Trail Blazers,Phoenix Suns,H
Sacramento Kings,New Orleans Pelicans,H
Atlanta Hawks,Chicago Bulls,H
Charlotte Hornets,Utah Jazz,H
Golden State Warriors,Dallas Mavericks,H
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Portland Trail Blazers,H
New York Knicks,Brooklyn Nets,H
Oklahoma City Thunder,Toronto Raptors,V
Orlando Magic,Minnesota Timberwolves,V
Phoenix Suns,Detroit Pistons,H
San Antonio Spurs,Houston Rockets,V
Washington Wizards,Boston Celtics,H
Denver Nuggets,Golden State Warriors,V
Miami Heat,Chicago Bulls,V
Milwaukee Bucks,New Orleans Pelicans,V
Sacramento Kings,Los Angeles Lakers,V
Boston Celtics,New York Knicks,H
Charlotte Hornets,Toronto Raptors,V
Oklahoma City Thunder,Los Angeles Clippers,V
Orlando Magic,Utah Jazz,V
Philadelphia 76ers,Indiana Pacers,H
Portland Trail Blazers,Sacramento Kings,H
San Antonio Spurs,Detroit Pistons,H
Washington Wizards,Cleveland Cavaliers,V
Atlanta Hawks,Philadelphia 76ers,H
Chicago Bulls,Washington Wizards,H
Denver Nuggets,Detroit Pistons,V
Houston Rockets,San Antonio Spurs,V
Indiana Pacers,Boston Celtics,V
Miami Heat,Utah Jazz,V
Milwaukee Bucks,Memphis Grizzlies,H
Minnesota Timberwolves,Los Angeles Clippers,V
New Orleans Pelicans,Los Angeles Lakers,V
Phoenix Suns,Brooklyn Nets,V
Toronto Raptors,New York Knicks,H
Cleveland Cavaliers,Charlotte Hornets,H
Golden State Warriors,Phoenix Suns,H
Minnesota Timberwolves,Los Angeles Lakers,H
Oklahoma City Thunder,Orlando Magic,V
Portland Trail Blazers,Denver Nuggets,H
Detroit Pistons,Oklahoma City Thunder,H
Houston Rockets,Philadelphia 76ers,H
Indiana Pacers,Orlando Magic,H
Los Angeles Clippers,Brooklyn Nets,H
New Orleans Pelicans,Boston Celtics,H
New York Knicks,Dallas Mavericks,H
San Antonio Spurs,Miami Heat,H
Utah Jazz,Memphis Grizzlies,V
Cleveland Cavaliers,Toronto Raptors,H
Los Angeles Lakers,Brooklyn Nets,H
Miami Heat,Atlanta Hawks,V
Minnesota Timberwolves,Charlotte Hornets,V
Portland Trail Blazers,Chicago Bulls,V
Atlanta Hawks,Milwaukee Bucks,H
Boston Celtics,Dallas Mavericks,H
Denver Nuggets,Phoenix Suns,H
Indiana Pacers,Cleveland Cavaliers,H
Los Angeles Clippers,Memphis Grizzlies,V
New York Knicks,Detroit Pistons,H
Oklahoma City Thunder,Houston Rockets,H
Orlando Magic,New Orleans Pelicans,H
Philadelphia 76ers,Washington Wizards,H
Sacramento Kings,San Antonio Spurs,V
Toronto Raptors,Golden State Warriors,V
Houston Rockets,Portland Trail Blazers,H
Miami Heat,Milwaukee Bucks,H
Minnesota Timberwolves,Philadelphia 76ers,H
Utah Jazz,Chicago Bulls,V
Washington Wizards,New York Knicks,H
Boston Celtics,Golden State Warriors,V
Charlotte Hornets,Atlanta Hawks,H
Cleveland Cavaliers,Detroit Pistons,H
Dallas Mavericks,Memphis Grizzlies,V
Denver Nuggets,Toronto Raptors,V
Indiana Pacers,Phoenix Suns,V
Los Angeles Lakers,San Antonio Spurs,V
New Orleans Pelicans,Portland Trail Blazers,H
Oklahoma City Thunder,Brooklyn Nets,H
Sacramento Kings,Los Angeles Clippers,V
Detroit Pistons,Boston Celtics,V
Houston Rockets,Utah Jazz,H
Los Angeles Clippers,Chicago Bulls,H
Memphis Grizzlies,Minnesota Timberwolves,H
Milwaukee Bucks,Golden State Warriors,V
New Orleans Pelicans,Charlotte Hornets,H
Orlando Magic,Dallas Mavericks,H
Philadelphia 76ers,Phoenix Suns,H
Washington Wizards,Miami Heat,V
Brooklyn Nets,Portland Trail Blazers,V
Denver Nuggets,Utah Jazz,H
Los Angeles Lakers,Chicago Bulls,V
New York Knicks,Atlanta Hawks,H
Oklahoma City Thunder,Indiana Pacers,V
Sacramento Kings,Toronto Raptors,H
Charlotte Hornets,Memphis Grizzlies,V
Detroit Pistons,Houston Rockets,V
Indiana Pacers,Golden State Warriors,V
Los Angeles Clippers,Toronto Raptors,H
Milwaukee Bucks,Orlando Magic,H
Minnesota Timberwolves,Boston Celtics,V
Philadelphia 76ers,Miami Heat,H
San Antonio Spurs,Dallas Mavericks,H
Washington Wizards,Phoenix Suns,H
Atlanta Hawks,New Orleans Pelicans,V
Denver Nuggets,Chicago Bulls,H
Los Angeles Lakers,Oklahoma City Thunder,H
New York Knicks,Portland Trail Blazers,H
Brooklyn Nets,Boston Celtics,V
Charlotte Hornets,San Antonio Spurs,V
Cleveland Cavaliers,Portland Trail Blazers,H
Dallas Mavericks,Los Angeles Clippers,V
Detroit Pistons,Miami Heat,H
Golden State Warriors,Los Angeles Lakers,H
Houston Rockets,Toronto Raptors,V
Indiana Pacers,Atlanta Hawks,V
New Orleans Pelicans,Minnesota Timberwolves,H
Orlando Magic,Phoenix Suns,V
Philadelphia 76ers,Memphis Grizzlies,V
Sacramento Kings,Oklahoma City Thunder,H
Utah Jazz,Denver Nuggets,H
Boston Celtics,San Antonio Spurs,V
Cleveland Cavaliers,Dallas Mavericks,H
Denver Nuggets,Oklahoma City Thunder,V
Detroit Pistons,Los Angeles Clippers,H
Indiana Pacers,Brooklyn Nets,H
Los Angeles Lakers,Golden State Warriors,V
Memphis Grizzlies,Miami Heat,V
Milwaukee Bucks,Toronto Raptors,V
New York Knicks,Charlotte Hornets,H
Orlando Magic,Washington Wizards,V
Philadelphia 76ers,Chicago Bulls,V
Phoenix Suns,Minnesota Timberwolves,V
Portland Trail Blazers,New Orleans Pelicans,H
Sacramento Kings,Houston Rockets,V
Utah Jazz,Atlanta Hawks,H
Charlotte Hornets,New York Knicks,H
Golden State Warriors,Minnesota Timberwolves,H
Miami Heat,Memphis Grizzlies,V
Oklahoma City Thunder,Detroit Pistons,H
Washington Wizards,San Antonio Spurs,V
Brooklyn Nets,Sacramento Kings,V
Dallas Mavericks,New Orleans Pelicans,H
Indiana Pacers,Los Angeles Clippers,H
Los Angeles Lakers,Atlanta Hawks,H
Orlando Magic,Milwaukee Bucks,V
Philadelphia 76ers,Cleveland Cavaliers,V
Phoenix Suns,Denver Nuggets,V
Portland Trail Blazers,Houston Rockets,V
Golden State Warriors,Atlanta Hawks,H
Memphis Grizzlies,Charlotte Hornets,V
Miami Heat,Boston Celtics,V
Minnesota Timberwolves,Utah Jazz,V
New York Knicks,Oklahoma City Thunder,V
Toronto Raptors,Philadelphia 76ers,H
Washington Wizards,Sacramento Kings,H
Brooklyn Nets,Los Angeles Clippers,H
Charlotte Hornets,Detroit Pistons,V
Milwaukee Bucks,Cleveland Cavaliers,H
New Orleans Pelicans,Los Angeles Lakers,H
San Antonio Spurs,Orlando Magic,V
Utah Jazz,Houston Rockets,H
Boston Celtics,Detroit Pistons,V
Chicago Bulls,Los Angeles Lakers,V
Dallas Mavericks,San Antonio Spurs,V
Denver Nuggets,Miami Heat,V
Minnesota Timberwolves,New York Knicks,V
Oklahoma City Thunder,Washington Wizards,H
Phoenix Suns,Atlanta Hawks,H
Portland Trail Blazers,Indiana Pacers,H
Toronto Raptors,Memphis Grizzlies,H
Brooklyn Nets,Milwaukee Bucks,V
Charlotte Hornets,Dallas Mavericks,H
Cleveland Cavaliers,Los Angeles Clippers,V
Golden State Warriors,Houston Rockets,V
Memphis Grizzlies,Orlando Magic,H
Utah Jazz,Miami Heat,V
Atlanta Hawks,Detroit Pistons,V
Boston Celtics,Sacramento Kings,H
Chicago Bulls,Cleveland Cavaliers,H
Denver Nuggets,Houston Rockets,V
New Orleans Pelicans,Los Angeles Clippers,V
New York Knicks,Minnesota Timberwolves,H
Philadelphia 76ers,Orlando Magic,V
San Antonio Spurs,Washington Wizards,H
Toronto Raptors,Los Angeles Lakers,H
Charlotte Hornets,Minnesota Timberwolves,V
Dallas Mavericks,Chicago Bulls,H
Golden State Warriors,Phoenix Suns,H
Memphis Grizzlies,Los Angeles Lakers,H
Milwaukee Bucks,Brooklyn Nets,H
Philadelphia 76ers,Boston Celtics,V
Portland Trail Blazers,Miami Heat,H
Toronto Raptors,Atlanta Hawks,H
Utah Jazz,Denver Nuggets,H
Detroit Pistons,Orlando Magic,V
Los Angeles Clippers,Indiana Pacers,V
New York Knicks,Sacramento Kings,H
Oklahoma City Thunder,New Orleans Pelicans,H
Atlanta Hawks,Oklahoma City Thunder,V
Brooklyn Nets,Washington Wizards,V
Chicago Bulls,Portland Trail Blazers,V
Dallas Mavericks,Charlotte Hornets,V
Golden State Warriors,Indiana Pacers,H
Houston Rockets,Boston Celtics,H
Los Angeles Lakers,Utah Jazz,V
Milwaukee Bucks,San Antonio Spurs,V
New Orleans Pelicans,Memphis Grizzlies,V
Philadelphia 76ers,Denver Nuggets,V
Toronto Raptors,Cleveland Cavaliers,V
Detroit Pistons,Chicago Bulls,H
Memphis Grizzlies,Philadelphia 76ers,H
Miami Heat,New York Knicks,V
Minnesota Timberwolves,San Antonio Spurs,V
Utah Jazz,Phoenix Suns,H
Washington Wizards,Orlando Magic,V
Atlanta Hawks,Miami Heat,H
Brooklyn Nets,Denver Nuggets,H
Charlotte Hornets,Detroit Pistons,H
Dallas Mavericks,Sacramento Kings,V
Houston Rockets,Los Angeles Lakers,H
Los Angeles Clippers,Golden State Warriors,V
Milwaukee Bucks,Portland Trail Blazers,H
New York Knicks,Cleveland Cavaliers,V
Orlando Magic,Boston Celtics,V
Phoenix Suns,Indiana Pacers,V
Chicago Bulls,San Antonio Spurs,H
Memphis Grizzlies,Portland Trail Blazers,H
New Orleans Pelicans,Philadelphia 76ers,V
Toronto Raptors,Minnesota Timberwolves,H
Utah Jazz,Golden State Warriors,V
Washington Wizards,Denver Nuggets,H
Boston Celtics,Toronto Raptors,V
Charlotte Hornets,Orlando Magic,H
Cleveland Cavaliers,Miami Heat,H
Dallas Mavericks,Indiana Pacers,H
Los Angeles Lakers,Phoenix Suns,V
Milwaukee Bucks,Atlanta Hawks,V
Minnesota Timberwolves,Detroit Pistons,V
Oklahoma City Thunder,Houston Rockets,V
Sacramento Kings,New York Knicks,V
Chicago Bulls,Miami Heat,H
Cleveland Cavaliers,Charlotte Hornets,H
Houston Rockets,Dallas Mavericks,H
Indiana Pacers,Portland Trail Blazers,H
Los Angeles Clippers,New Orleans Pelicans,H
Memphis Grizzlies,Golden State Warriors,H
Orlando Magic,Denver Nuggets,V
San Antonio Spurs,Brooklyn Nets,H
Utah Jazz,Sacramento Kings,H
Washington Wizards,Milwaukee Bucks,H
Detroit Pistons,Philadelphia 76ers,V
Los Angeles Lakers,New York Knicks,V
Minnesota Timberwolves,Golden State Warriors,V
Oklahoma City Thunder,Boston Celtics,H
Phoenix Suns,New Orleans Pelicans,V
Dallas Mavericks,Denver Nuggets,H
Houston Rockets,Brooklyn Nets,H
Indiana Pacers,Charlotte Hornets,H
Los Angeles Clippers,Portland Trail Blazers,H
Miami Heat,Washington Wizards,H
Sacramento Kings,Los Angeles Lakers,H
Toronto Raptors,Milwaukee Bucks,H
Atlanta Hawks,Orlando Magic,V
Chicago Bulls,Minnesota Timberwolves,V
Cleveland Cavaliers,Memphis Grizzlies,H
New Orleans Pelicans,Golden State Warriors,V
Phoenix Suns,New York Knicks,H
Portland Trail Blazers,Oklahoma City Thunder,H
Brooklyn Nets,Los Angeles Lakers,H
Dallas Mavericks,Detroit Pistons,V
Houston Rockets,Sacramento Kings,H
Memphis Grizzlies,Cleveland Cavaliers,H
Miami Heat,Indiana Pacers,H
Orlando Magic,Los Angeles Clippers,V
Philadelphia 76ers,Toronto Raptors,V
San Antonio Spurs,Boston Celtics,H
Utah Jazz,Oklahoma City Thunder,H
Washington Wizards,Charlotte Hornets,H
Denver Nuggets,Portland Trail Blazers,H
Golden State Warriors,New York Knicks,H
Milwaukee Bucks,Chicago Bulls,H
New Orleans Pelicans,Indiana Pacers,H
Phoenix Suns,San Antonio Spurs,V
Boston Celtics,Charlotte Hornets,H
Chicago Bulls,Milwaukee Bucks,V
Houston Rockets,New Orleans Pelicans,H
Memphis Grizzlies,Sacramento Kings,V
Miami Heat,Los Angeles Clippers,V
Orlando Magic,Brooklyn Nets,H
Philadelphia 76ers,Los Angeles Lakers,V
Toronto Raptors,Atlanta Hawks,V
Utah Jazz,Dallas Mavericks,H
Washington Wizards,Detroit Pistons,H
Atlanta Hawks,Charlotte Hornets,V
Cleveland Cavaliers,Los Angeles Lakers,H
Denver Nuggets,New York Knicks,H
Detroit Pistons,Indiana Pacers,V
Golden State Warriors,Portland Trail Blazers,H
Minnesota Timberwolves,Houston Rockets,V
Oklahoma City Thunder,Phoenix Suns,H
Dallas Mavericks,Sacramento Kings,H
Memphis Grizzlies,Utah Jazz,V
Miami Heat,Boston Celtics,V
Orlando Magic,Toronto Raptors,V
Philadelphia 76ers,Brooklyn Nets,H
San Antonio Spurs,New Orleans Pelicans,H
Washington Wizards,Los Angeles Clippers,H
Chicago Bulls,Detroit Pistons,H
Denver Nuggets,Dallas Mavericks,H
Indiana Pacers,Washington Wizards,H
Minnesota Timberwolves,Phoenix Suns,H
Oklahoma City Thunder,Atlanta Hawks,V
Charlotte Hornets,Los Angeles Lakers,H
Golden State Warriors,Utah Jazz,H
Houston Rockets,San Antonio Spurs,V
Los Angeles Clippers,Denver Nuggets,H
Memphis Grizzlies,Boston Celtics,V
Miami Heat,Orlando Magic,V
Milwaukee Bucks,Cleveland Cavaliers,V
New York Knicks,Indiana Pacers,H
Philadelphia 76ers,New Orleans Pelicans,V
Sacramento Kings,Portland Trail Blazers,H
Toronto Raptors,Brooklyn Nets,H
Atlanta Hawks,Minnesota Timberwolves,V
Chicago Bulls,Washington Wizards,V
Cleveland Cavaliers,Milwaukee Bucks,H
Detroit Pistons,Memphis Grizzlies,V
New Orleans Pelicans,Oklahoma City Thunder,V
Phoenix Suns,Houston Rockets,V
Portland Trail Blazers,Dallas Mavericks,V
Utah Jazz,Sacramento Kings,V
Brooklyn Nets,Golden State Warriors,V
Indiana Pacers,Boston Celtics,V
Los Angeles Clippers,San Antonio Spurs,H
Miami Heat,Los Angeles Lakers,H
New York Knicks,Orlando Magic,H
Boston Celtics,Oklahoma City Thunder,V
Charlotte Hornets,Chicago Bulls,H
Cleveland Cavaliers,Brooklyn Nets,H
Denver Nuggets,Atlanta Hawks,V
Detroit Pistons,Golden State Warriors,V
Los Angeles Clippers,Dallas Mavericks,V
Memphis Grizzlies,Houston Rockets,H
Milwaukee Bucks,Washington Wizards,H
Minnesota Timberwolves,Sacramento Kings,V
New Orleans Pelicans,Miami Heat,H
Orlando Magic,Los Angeles Lakers,H
Phoenix Suns,Philadelphia 76ers,H
Portland Trail Blazers,San Antonio Spurs,V
Utah Jazz,Toronto Raptors,V
Cleveland Cavaliers,Golden State Warriors,H
Los Angeles Lakers,Los Angeles Clippers,H
New York Knicks,Boston Celtics,V
Oklahoma City Thunder,Minnesota Timberwolves,H
San Antonio Spurs,Chicago Bulls,H
Brooklyn Nets,Charlotte Hornets,H
Chicago Bulls,Indiana Pacers,H
Detroit Pistons,Cleveland Cavaliers,H
Houston Rockets,Phoenix Suns,H
Los Angeles Clippers,Denver Nuggets,V
Minnesota Timberwolves,Atlanta Hawks,H
New Orleans Pelicans,Dallas Mavericks,H
Orlando Magic,Memphis Grizzlies,H
Portland Trail Blazers,Toronto Raptors,V
Sacramento Kings,Philadelphia 76ers,H
Washington Wizards,Milwaukee Bucks,H
Boston Celtics,Memphis Grizzlies,H
Dallas Mavericks,Houston Rockets,V
Los Angeles Lakers,Utah Jazz,V
Miami Heat,Oklahoma City Thunder,V
Atlanta Hawks,New York Knicks,H
Chicago Bulls,Brooklyn Nets,H
Denver Nuggets,Minnesota Timberwolves,H
Detroit Pistons,Milwaukee Bucks,V
Golden State Warriors,Toronto Raptors,H
New Orleans Pelicans,Los Angeles Clippers,H
Orlando Magic,Charlotte Hornets,V
Portland Trail Blazers,Sacramento Kings,H
San Antonio Spurs,Phoenix Suns,H
Washington Wizards,Indiana Pacers,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Boston Celtics,H
Los Angeles Lakers,Dallas Mavericks,V
Memphis Grizzlies,Oklahoma City Thunder,H
Phoenix Suns,Toronto Raptors,H
Utah Jazz,Philadelphia 76ers,H
Atlanta Hawks,Detroit Pistons,H
Boston Celtics,Miami Heat,H
Denver Nuggets,Philadelphia 76ers,V
Golden State Warriors,Dallas Mavericks,H
Houston Rockets,Los Angeles Clippers,H
Indiana Pacers,Chicago Bulls,H
Minnesota Timberwolves,Milwaukee Bucks,H
New Orleans Pelicans,New York Knicks,H
San Antonio Spurs,Portland Trail Blazers,H
Washington Wizards,Brooklyn Nets,H
Chicago Bulls,Milwaukee Bucks,V
Charlotte Hornets,Cleveland Cavaliers,V
Houston Rockets,New York Knicks,H
Oklahoma City Thunder,Los Angeles Clippers,H
Sacramento Kings,Memphis Grizzlies,V
Utah Jazz,Phoenix Suns,H
Atlanta Hawks,San Antonio Spurs,H
Indiana Pacers,Orlando Magic,H
Los Angeles Lakers,Toronto Raptors,V
Miami Heat,Detroit Pistons,V
Minnesota Timberwolves,Portland Trail Blazers,V
Brooklyn Nets,Utah Jazz,V
Chicago Bulls,Charlotte Hornets,H
Cleveland Cavaliers,New Orleans Pelicans,H
Golden State Warriors,Denver Nuggets,H
Houston Rockets,Washington Wizards,H
Los Angeles Clippers,Phoenix Suns,H
Milwaukee Bucks,Oklahoma City Thunder,H
New York Knicks,Orlando Magic,V
Boston Celtics,Utah Jazz,H
Dallas Mavericks,Washington Wizards,H
Denver Nuggets,Sacramento Kings,V
Detroit Pistons,Indiana Pacers,V
Los Angeles Lakers,Memphis Grizzlies,H
Philadelphia 76ers,Minnesota Timberwolves,H
Phoenix Suns,Miami Heat,H
San Antonio Spurs,Toronto Raptors,H
Charlotte Hornets,Oklahoma City Thunder,H
Cleveland Cavaliers,Chicago Bulls,V
Golden State Warriors,Portland Trail Blazers,H
Los Angeles Clippers,Memphis Grizzlies,H
New York Knicks,Milwaukee Bucks,V
Orlando Magic,Atlanta Hawks,V
Sacramento Kings,Miami Heat,V
Dallas Mavericks,Phoenix Suns,V
Denver Nuggets,San Antonio Spurs,V
Detroit Pistons,Charlotte Hornets,H
Houston Rockets,Oklahoma City Thunder,H
Indiana Pacers,Brooklyn Nets,H
New Orleans Pelicans,Atlanta Hawks,V
Portland Trail Blazers,Los Angeles Lakers,H
Toronto Raptors,Utah Jazz,H
Boston Celtics,Philadelphia 76ers,H
Brooklyn Nets,Cleveland Cavaliers,V
Golden State Warriors,Memphis Grizzlies,V
Los Angeles Lakers,Miami Heat,H
Milwaukee Bucks,New York Knicks,V
Orlando Magic,Houston Rockets,V
Sacramento Kings,Los Angeles Clippers,V
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,New Orleans Pelicans,H
Chicago Bulls,Toronto Raptors,H
Dallas Mavericks,Atlanta Hawks,V
Indiana Pacers,New York Knicks,H
Minnesota Timberwolves,Utah Jazz,V
Oklahoma City Thunder,Denver Nuggets,H
San Antonio Spurs,Charlotte Hornets,H
Brooklyn Nets,Philadelphia 76ers,V
Los Angeles Clippers,Miami Heat,H
Los Angeles Lakers,Orlando Magic,H
Memphis Grizzlies,Utah Jazz,H
Milwaukee Bucks,Washington Wizards,V
Phoenix Suns,Cleveland Cavaliers,V
Portland Trail Blazers,Detroit Pistons,V
Sacramento Kings,Golden State Warriors,V
Toronto Raptors,Houston Rockets,V
Chicago Bulls,Oklahoma City Thunder,V
Minnesota Timberwolves,Dallas Mavericks,H
New York Knicks,New Orleans Pelicans,V
Brooklyn Nets,Atlanta Hawks,V
Golden State Warriors,Miami Heat,H
Houston Rockets,Charlotte Hornets,H
Los Angeles Lakers,Portland Trail Blazers,V
Sacramento Kings,Detroit Pistons,H
San Antonio Spurs,Milwaukee Bucks,V
Toronto Raptors,Boston Celtics,H
Utah Jazz,Cleveland Cavaliers,H
Washington Wizards,Chicago Bulls,H
Boston Celtics,Washington Wizards,H
Los Angeles Clippers,Orlando Magic,H
Minnesota Timberwolves,Houston Rockets,H
Oklahoma City Thunder,Memphis Grizzlies,H
Philadelphia 76ers,New York Knicks,H
Portland Trail Blazers,Cleveland Cavaliers,H
Brooklyn Nets,New Orleans Pelicans,V
Denver Nuggets,Indiana Pacers,H
Golden State Warriors,Detroit Pistons,H
New York Knicks,Chicago Bulls,H
Phoenix Suns,Dallas Mavericks,V
San Antonio Spurs,Los Angeles Lakers,H
Atlanta Hawks,Boston Celtics,V
Houston Rockets,Memphis Grizzlies,V
Milwaukee Bucks,Miami Heat,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Philadelphia 76ers,Charlotte Hornets,H
Portland Trail Blazers,Orlando Magic,V
Sacramento Kings,Cleveland Cavaliers,V
Toronto Raptors,Brooklyn Nets,H
Utah Jazz,Detroit Pistons,H
Chicago Bulls,New Orleans Pelicans,H
Los Angeles Clippers,Los Angeles Lakers,H
Phoenix Suns,San Antonio Spurs,H
Utah Jazz,Orlando Magic,H
Washington Wizards,Philadelphia 76ers,H
Atlanta Hawks,Milwaukee Bucks,H
Brooklyn Nets,Houston Rockets,V
Dallas Mavericks,Minnesota Timberwolves,H
Los Angeles Lakers,Detroit Pistons,V
Memphis Grizzlies,Chicago Bulls,V
Sacramento Kings,Oklahoma City Thunder,V
Toronto Raptors,New York Knicks,H
Boston Celtics,Charlotte Hornets,H
Denver Nuggets,Orlando Magic,H
Golden State Warriors,Cleveland Cavaliers,H
Indiana Pacers,New Orleans Pelicans,H
Los Angeles Clippers,Oklahoma City Thunder,H
Milwaukee Bucks,Philadelphia 76ers,V
New York Knicks,Atlanta Hawks,V
Phoenix Suns,Utah Jazz,V
Washington Wizards,Portland Trail Blazers,H
Brooklyn Nets,Toronto Raptors,V
Chicago Bulls,Dallas Mavericks,V
Los Angeles Lakers,Denver Nuggets,V
Miami Heat,Houston Rockets,H
San Antonio Spurs,Minnesota Timberwolves,H
Boston Celtics,New York Knicks,V
Charlotte Hornets,Portland Trail Blazers,H
Detroit Pistons,Atlanta Hawks,H
Golden State Warriors,Oklahoma City Thunder,H
Houston Rockets,Milwaukee Bucks,H
New Orleans Pelicans,Orlando Magic,H
Philadelphia 76ers,Toronto Raptors,H
Sacramento Kings,Indiana Pacers,V
Washington Wizards,Memphis Grizzlies,H
Cleveland Cavaliers,Phoenix Suns,H
Los Angeles Clippers,Minnesota Timberwolves,V
Miami Heat,Dallas Mavericks,H
New York Knicks,Washington Wizards,V
San Antonio Spurs,Denver Nuggets,H
Atlanta Hawks,Chicago Bulls,H
Charlotte Hornets,Toronto Raptors,H
Dallas Mavericks,Utah Jazz,V
Houston Rockets,Golden State Warriors,V
Los Angeles Lakers,Indiana Pacers,H
Memphis Grizzlies,Sacramento Kings,H
New Orleans Pelicans,Brooklyn Nets,V
Orlando Magic,Milwaukee Bucks,H
Philadelphia 76ers,Portland Trail Blazers,H
Atlanta Hawks,Philadelphia 76ers,H
Boston Celtics,Portland Trail Blazers,V
Chicago Bulls,Sacramento Kings,H
Charlotte Hornets,Brooklyn Nets,H
Cleveland Cavaliers,San Antonio Spurs,V
Denver Nuggets,Los Angeles Clippers,H
Detroit Pistons,Washington Wizards,H
Memphis Grizzlies,Houston Rockets,V
