winner,loser,probability
Oklahoma City Thunder,Los Angeles Clippers,0.5671976158298766
Phoenix Suns,Orlando Magic,0.5361892118904402
Portland Trail Blazers,Brooklyn Nets,0.526673718649798
San Antonio Spurs,Milwaukee Bucks,0.5517631190946359
Utah Jazz,Miami Heat,0.5233465482396958
Dallas Mavericks,Cleveland Cavaliers,0.5836920176491821
Orlando Magic,Denver Nuggets,0.5163713414560933
Golden State Warriors,Philadelphia 76ers,0.5522265731056971
Houston Rockets,Memphis Grizzlies,0.5518518216436687
Los Angeles Lakers,Milwaukee Bucks,0.5017902906804531
New Orleans Pelicans,Los Angeles Clippers,0.5075762195157477
New York Knicks,Sacramento Kings,0.5381610310494733
Phoenix Suns,Minnesota Timberwolves,0.6133370836150319
San Antonio Spurs,Chicago Bulls,0.512049192682953
Brooklyn Nets,Utah Jazz,0.506057037611711
Atlanta Hawks,Washington Wizards,0.5281068351119187
Boston Celtics,Toronto Raptors,0.6153720362400174
Miami Heat,Detroit Pistons,0.5229908690140543
Indiana Pacers,Houston Rockets,0.5579672199381445
Oklahoma City Thunder,Dallas Mavericks,0.5494123879736715
Golden State Warriors,Orlando Magic,0.5016350028504003
Los Angeles Clippers,Philadelphia 76ers,0.5629359987578021
Milwaukee Bucks,Memphis Grizzlies,0.5318965968919894
Atlanta Hawks,New Orleans Pelicans,0.5414232675279245
New York Knicks,Cleveland Cavaliers,0.5763954780998629
Phoenix Suns,Los Angeles Lakers,0.560443334835946
Portland Trail Blazers,Denver Nuggets,0.5761992041482706
Utah Jazz,Minnesota Timberwolves,0.5577844711737309
Washington Wizards,Sacramento Kings,0.5052737055703513
Brooklyn Nets,Boston Celtics,0.5419294474150982
Dallas Mavericks,San Antonio Spurs,0.5523011214985656
Houston Rockets,Toronto Raptors,0.6016825880426486
Atlanta Hawks,Sacramento Kings,0.5017163667030622
Charlotte Hornets,Cleveland Cavaliers,0.5484554560886125
Los Angeles Lakers,Philadelphia 76ers,0.5494310364842652
Memphis Grizzlies,Indiana Pacers,0.5712876012482271
Miami Heat,Washington Wizards,0.5480927214563633
Detroit Pistons,Milwaukee Bucks,0.5277109705367515
Minnesota Timberwolves,San Antonio Spurs,0.554341776000155
New Orleans Pelicans,Toronto Raptors,0.5397642202303895
New York Knicks,Utah Jazz,0.5481350952576213
Oklahoma City Thunder,Chicago Bulls,0.5196064430825045
Portland Trail Blazers,Orlando Magic,0.5117103309100522
Boston Celtics,Golden State Warriors,0.6078904107339043
Phoenix Suns,Houston Rockets,0.6065493733319754
Brooklyn Nets,Utah Jazz,0.5273824802692307
Charlotte Hornets,Chicago Bulls,0.521226374240459
Cleveland Cavaliers,Los Angeles Clippers,0.5568722881649599
